Column1,Column2,Column4,CGI_ID,SPID,evalue,Description
scaffold105,2443,DML_lin,,,,
scaffold1404,121205,DML_lin,CGI_10008830,Q9Y4E8,1.00E-36,Ubiquitin carboxyl-terminal hydrolase 15
scaffold142,1002225,DML_lin,CGI_10026783,P97868,8.00E-88,E3 ubiquitin-protein ligase RBBP6
scaffold165,27245,DML_lin,CGI_10015306,Q9Y4B4,2.00E-52,Helicase ARIP4
scaffold1650,402398,DML_lin,,,,
scaffold1795,46149,DML_lin,CGI_10002548,Q9ESN6,7.00E-10,Tripartite motif-containing protein 2
scaffold315,334918,DML_lin,CGI_10020419,Q8VCY6,4.00E-50,U3 small nucleolar RNA-associated protein 6 homolog
scaffold348,685814,DML_lin,CGI_10022997,Q8VQ99,3.00E-16,Serine-rich adhesin for platelets
scaffold39198,59072,DML_lin,CGI_10003210,Q6ZMN7,5.00E-22,PDZ domain-containing RING finger protein 4
scaffold41954,124213,DML_lin,CGI_10005854,Q9H2Y7,2.00E-47,Zinc finger protein 106 homolog
scaffold42648,112742,DML_lin,,,,
scaffold42648,112854,DML_lin,,,,
scaffold42648,112935,DML_lin,,,,
scaffold42836,13711,DML_lin,CGI_10007854,Q6IQU7,1.00E-25,Integrator complex subunit 12
scaffold43072,38049,DML_lin,CGI_10008697,Q9UIF8,2.00E-108,Bromodomain adjacent to zinc finger domain protein 2B
scaffold43798,327208,DML_lin,,,,
scaffold43798,327228,DML_lin,,,,
scaffold54,79558,DML_lin,,,,
scaffold591,842764,DML_lin,,,,
scaffold625,751281,DML_lin,CGI_10023437,Q9BXT4,2.00E-46,Tudor domain-containing protein 1
scaffold695,314576,DML_lin,CGI_10023281,Q9UKK3,0,Poly [ADP-ribose] polymerase 4
scaffold695,315092,DML_lin,CGI_10023281,Q9UKK3,0,Poly [ADP-ribose] polymerase 4
scaffold760,777234,DML_lin,CGI_10024010,Q80U87,3.00E-128,Ubiquitin carboxyl-terminal hydrolase 8
scaffold825,91302,DML_lin,,,,
scaffold853,461655,DML_lin,,,,
